IRIS_ID	SUBPOPULATION
IRIS_313-10760	ind3
IRIS_313-10761	trop
IRIS_313-10762	ind3
IRIS_313-10765	trop
IRIS_313-10766	trop
IRIS_313-10767	trop
IRIS_313-10768	ind3
IRIS_313-10769	indx
IRIS_313-10770	trop
IRIS_313-10771	trop
IRIS_313-10772	ind3
IRIS_313-10773	trop
IRIS_313-10774	indx
IRIS_313-10775	indx
IRIS_313-10776	trop
IRIS_313-10777	ind3
IRIS_313-10778	ind3
IRIS_313-10779	ind3
IRIS_313-10780	trop
IRIS_313-10781	trop
IRIS_313-10782	ind3
IRIS_313-10783	trop
IRIS_313-10784	trop
IRIS_313-10785	trop
IRIS_313-10786	ind3
IRIS_313-10787	ind3
IRIS_313-10788	trop
IRIS_313-10789	trop
IRIS_313-10790	trop
IRIS_313-10791	ind3
IRIS_313-10792	ind3
IRIS_313-10793	trop
IRIS_313-10794	trop
IRIS_313-10795	trop
IRIS_313-10796	trop
IRIS_313-10797	ind3
IRIS_313-10798	trop
IRIS_313-10799	trop
IRIS_313-10800	trop
IRIS_313-10801	trop
IRIS_313-10802	trop
IRIS_313-10803	trop
IRIS_313-10804	ind3
IRIS_313-10805	trop
IRIS_313-10806	ind3
IRIS_313-10807	ind3
IRIS_313-10808	trop
IRIS_313-10809	trop
IRIS_313-10810	ind3
IRIS_313-10811	indx
IRIS_313-10812	ind3
IRIS_313-10813	ind3
IRIS_313-10814	ind3
IRIS_313-10815	trop
IRIS_313-10816	trop
IRIS_313-10817	trop
IRIS_313-10818	ind3
IRIS_313-10819	ind3
IRIS_313-10820	ind3
IRIS_313-10821	ind3
IRIS_313-10822	ind3
IRIS_313-10823	ind3
IRIS_313-10824	ind3
IRIS_313-10825	indx
IRIS_313-10827	trop
IRIS_313-10828	trop
IRIS_313-10829	trop
IRIS_313-10830	trop
IRIS_313-10831	trop
IRIS_313-10832	trop
IRIS_313-10833	ind2
IRIS_313-10834	subtrop
IRIS_313-10835	ind2
IRIS_313-10836	ind2
IRIS_313-10837	temp
IRIS_313-10838	temp
IRIS_313-10839	temp
IRIS_313-10840	temp
IRIS_313-10841	trop
IRIS_313-10842	ind3
IRIS_313-10844	ind3
IRIS_313-10845	aus
IRIS_313-10847	indx
IRIS_313-10848	subtrop
IRIS_313-10849	aus
IRIS_313-10850	admix
IRIS_313-10851	aro
IRIS_313-10852	aus
IRIS_313-10853	japx
IRIS_313-10854	aus
IRIS_313-10855	ind2
IRIS_313-10856	admix
IRIS_313-10857	admix
IRIS_313-10858	indx
IRIS_313-10859	indx
IRIS_313-10861	aus
IRIS_313-10862	japx
IRIS_313-10863	ind2
IRIS_313-10864	admix
IRIS_313-10865	subtrop
IRIS_313-10866	subtrop
IRIS_313-10867	subtrop
IRIS_313-10868	aro
IRIS_313-10869	aus
IRIS_313-10870	subtrop
IRIS_313-10871	aus
IRIS_313-10872	japx
IRIS_313-10873	aus
IRIS_313-10874	subtrop
IRIS_313-10875	aus
IRIS_313-10876	aus
IRIS_313-10877	aus
IRIS_313-10878	aus
IRIS_313-10879	admix
IRIS_313-10880	ind2
IRIS_313-10881	admix
IRIS_313-10882	aus
IRIS_313-10883	admix
IRIS_313-10884	subtrop
IRIS_313-10885	indx
IRIS_313-10886	subtrop
IRIS_313-10887	indx
IRIS_313-10888	subtrop
IRIS_313-10889	subtrop
IRIS_313-10890	subtrop
IRIS_313-10891	aus
IRIS_313-10892	aus
IRIS_313-10893	subtrop
IRIS_313-10894	admix
IRIS_313-10895	subtrop
IRIS_313-10896	admix
IRIS_313-10897	ind3
IRIS_313-10898	ind3
IRIS_313-10899	ind3
IRIS_313-10900	ind3
IRIS_313-10901	ind3
IRIS_313-10902	ind3
IRIS_313-10903	ind3
IRIS_313-10904	ind3
IRIS_313-10905	ind3
IRIS_313-10906	ind3
IRIS_313-10907	ind3
IRIS_313-10908	ind3
IRIS_313-10909	ind3
IRIS_313-10910	ind3
IRIS_313-10911	ind3
IRIS_313-10912	ind3
IRIS_313-10913	ind3
IRIS_313-10915	ind3
IRIS_313-10916	temp
IRIS_313-10917	indx
IRIS_313-10918	trop
IRIS_313-10919	trop
IRIS_313-10920	trop
IRIS_313-10921	indx
IRIS_313-10922	subtrop
IRIS_313-10923	subtrop
IRIS_313-10924	indx
IRIS_313-10925	aus
IRIS_313-10926	aro
IRIS_313-10927	aus
IRIS_313-10928	ind3
IRIS_313-10929	ind2
IRIS_313-10930	aus
IRIS_313-10931	trop
IRIS_313-10932	ind1A
IRIS_313-10933	aro
IRIS_313-10934	ind3
IRIS_313-10935	ind3
IRIS_313-10936	trop
IRIS_313-10937	ind3
IRIS_313-10938	ind3
IRIS_313-10940	ind3
IRIS_313-10941	indx
IRIS_313-10942	ind3
IRIS_313-10943	ind3
IRIS_313-10944	ind3
IRIS_313-10945	trop
IRIS_313-10946	trop
IRIS_313-10947	ind3
IRIS_313-10948	admix
IRIS_313-10949	trop
IRIS_313-10950	trop
IRIS_313-10951	ind3
IRIS_313-10952	trop
IRIS_313-10953	trop
IRIS_313-10954	ind3
IRIS_313-10955	ind3
IRIS_313-10956	trop
IRIS_313-10957	trop
IRIS_313-10958	trop
IRIS_313-10959	trop
IRIS_313-10960	trop
IRIS_313-10961	ind3
IRIS_313-10962	ind3
IRIS_313-10963	aus
IRIS_313-10964	aus
IRIS_313-10965	aus
IRIS_313-10966	indx
IRIS_313-10967	temp
IRIS_313-10968	ind1A
IRIS_313-10969	aus
IRIS_313-10970	ind3
IRIS_313-10971	ind2
IRIS_313-10972	ind2
IRIS_313-10973	ind2
IRIS_313-10974	ind2
IRIS_313-10975	ind2
IRIS_313-10976	aus
IRIS_313-10977	ind2
IRIS_313-10978	indx
IRIS_313-10979	aus
IRIS_313-10980	admix
IRIS_313-10981	aus
IRIS_313-10982	ind2
IRIS_313-10983	indx
IRIS_313-10984	ind2
IRIS_313-10985	ind2
IRIS_313-10986	ind2
IRIS_313-10987	aus
IRIS_313-10988	indx
IRIS_313-10989	ind2
IRIS_313-10990	indx
IRIS_313-10991	trop
IRIS_313-10992	trop
IRIS_313-10993	trop
IRIS_313-10994	trop
IRIS_313-10995	ind3
IRIS_313-10996	indx
IRIS_313-10997	ind3
IRIS_313-10998	indx
IRIS_313-10999	trop
IRIS_313-11000	ind3
IRIS_313-11001	trop
IRIS_313-11003	trop
IRIS_313-11004	trop
IRIS_313-11005	trop
IRIS_313-11006	ind3
IRIS_313-11007	trop
IRIS_313-11008	trop
IRIS_313-11009	trop
IRIS_313-11010	ind3
IRIS_313-11011	indx
IRIS_313-11012	admix
IRIS_313-11013	aus
IRIS_313-11014	aus
IRIS_313-11015	aus
IRIS_313-11016	aus
IRIS_313-11017	aus
IRIS_313-11018	aus
IRIS_313-11019	aus
IRIS_313-11020	aus
IRIS_313-11021	aro
IRIS_313-11022	aro
IRIS_313-11023	aro
IRIS_313-11024	aus
IRIS_313-11025	aus
IRIS_313-11026	aro
IRIS_313-11027	aus
IRIS_313-11028	aus
IRIS_313-11029	aus
IRIS_313-11030	aro
IRIS_313-11031	aus
IRIS_313-11032	aro
IRIS_313-11033	admix
IRIS_313-11034	aus
IRIS_313-11035	admix
IRIS_313-11036	aus
IRIS_313-11037	aus
IRIS_313-11038	ind1A
IRIS_313-11039	ind1A
IRIS_313-11040	indx
IRIS_313-11041	ind2
IRIS_313-11042	indx
IRIS_313-11043	ind3
IRIS_313-11044	trop
IRIS_313-11045	trop
IRIS_313-11046	trop
IRIS_313-11047	aus
IRIS_313-11048	aus
IRIS_313-11049	aus
IRIS_313-11050	aus
IRIS_313-11051	aus
IRIS_313-11052	aus
IRIS_313-11053	aus
IRIS_313-11054	aus
IRIS_313-11055	aus
IRIS_313-11056	aus
IRIS_313-11057	aus
IRIS_313-11058	aus
IRIS_313-11059	aus
IRIS_313-11060	aus
IRIS_313-11061	aus
IRIS_313-11062	aro
IRIS_313-11063	aus
IRIS_313-11064	aus
IRIS_313-11065	aus
IRIS_313-11066	admix
IRIS_313-11067	aus
IRIS_313-11068	aro
IRIS_313-11069	aro
IRIS_313-11070	admix
IRIS_313-11071	indx
IRIS_313-11072	ind3
IRIS_313-11073	subtrop
IRIS_313-11074	ind3
IRIS_313-11075	japx
IRIS_313-11076	ind3
IRIS_313-11077	subtrop
IRIS_313-11078	indx
IRIS_313-11079	ind3
IRIS_313-11080	ind3
IRIS_313-11081	ind3
IRIS_313-11082	ind3
IRIS_313-11083	ind3
IRIS_313-11084	ind3
IRIS_313-11085	indx
IRIS_313-11086	ind3
IRIS_313-11087	ind3
IRIS_313-11088	ind3
IRIS_313-11089	ind3
IRIS_313-11090	ind3
IRIS_313-11091	indx
IRIS_313-11092	admix
IRIS_313-11093	subtrop
IRIS_313-11094	subtrop
IRIS_313-11095	ind3
IRIS_313-11096	ind3
IRIS_313-11097	indx
IRIS_313-11098	ind3
IRIS_313-11099	ind2
IRIS_313-11100	trop
IRIS_313-11101	indx
IRIS_313-11102	trop
IRIS_313-11103	trop
IRIS_313-11104	trop
IRIS_313-11105	trop
IRIS_313-11106	trop
IRIS_313-11107	trop
IRIS_313-11108	ind3
IRIS_313-11109	trop
IRIS_313-11110	ind2
IRIS_313-11111	aus
IRIS_313-11112	aus
IRIS_313-11113	ind2
IRIS_313-11114	ind2
IRIS_313-11115	ind2
IRIS_313-11116	aus
IRIS_313-11117	trop
IRIS_313-11118	ind3
IRIS_313-11119	indx
IRIS_313-11120	ind2
IRIS_313-11121	trop
IRIS_313-11122	ind1B
IRIS_313-11123	aus
IRIS_313-11124	admix
IRIS_313-11125	admix
IRIS_313-11126	indx
IRIS_313-11127	subtrop
