X.Phenotype.,GRYLD,subpopulation
IC547649,4.74,yy
IC547640,3.25,zz
IC240802,4.17,xx
IC547637,3.89,zz
IC549385,3.52,yq
IC549361,4.91,zz
IC549339,4.99,xx
IC252346,4.49,yy
IC547657,4.72,zz
IC252349,5.08,xx
IC554661,4.27,xx
IC252369,2.86,yy
IC573852,4.07,zz
IC573850,4.9,xx
IC566634,3.39,yq
IC75217,3.74,yq
IC73199,4.65,yy
IC252387,5.21,yy
IC584159,5.97,xx
IC583383,5.36,zz
IC582710,4.48,yy
IC534929,4.71,zz
IC574388,4.34,xx
IC78703,5.03,zz
IC75242,4.88,yq
IC401927,6.22,zz
IC290186,5.73,xx
IC82425A,5.17,yy
IC309875,4.68,zz
IC29002,4.47,xx
IC29020,5.37,xx
IC28584,3.6,yy
IC28872,3.56,zz
IC28526,3.52,xx
IC252796A,3.36,yq
IC533610,3.7,zz
IC252429,6.18,yq
IC252440,5.49,zz
IC252786,5.2,xx
IC252469,5.49,zz
IC240797,5.82,yq
IC145522,7.24,yy
IC28029,6.5,yy
EC339606,4.65,xx
EC339617,6.39,zz
EC463384,5.62,yy
EC483002,4.02,zz
EC534421,4.53,xx
IC252563,5.13,zz
EC534451,5.2,yq
EC552125,4.97,zz
EC554964,4.5,xx
EC556473,5.73,yy
IC252587,4.83,zz
EC556476,5.45,xx
EC556485,4.93,xx
EC582356,4.28,yy
EC609338,6.03,zz
IC252644,5.52,xx
EC609557,5.5,yq
EC6903,3.69,yq
IC252651,5.77,yy
EC573974,6.35,yy
EC574914,5.84,xx
EC187159,5.4,zz
EC313755,5.93,yy
EC574037,5.58,zz
EC576792,5.58,xx
IC252668,5.57,zz
EC577738,6.36,yq
EC21058,5.88,zz
EC576578,6.35,xx
EC464070,6.21,yy
EC313710,5.68,zz
IC252431,6.5,xx
IC252434,5.13,xx
IC252886,5.64,yy
IC279230,5.08,zz
IC28614,6.16,xx
IC296767,6.37,yq
