"Trial","Genotype ","Replication","TN","RN","ARP","RL","Category"
"2nd Expt","MG145",3,7,146,36.62,760.51,"zz"
"2nd Expt","MG145",1,8,168,29.81,743.421,"zz"
"2nd Expt","MG146",2,7,214,34.13,791.471,"zz"
"2nd Expt","MG146",3,9,274,38.64,1053.959,"zz"
"2nd Expt","MG146",1,9,276,36.21,978.362,"zz"
"2nd Expt","MG149",3,7,221,40.78,654.458,"zz"
"2nd Expt","MG149",2,7,235,45.1,680.104,"zz"
"2nd Expt","MG149",1,7,243,37.46,692.718,"zz"
"2nd Expt","MG150",1,7,228,27.88,989.856,"zz"
"2nd Expt","MG150",3,8,164,31.57,779.065,"zz"
"2nd Expt","MG150",2,8,214,27.34,1043.55,"zz"
"2nd Expt","MG151",1,7,159,34.96,960.375,"zz"
"2nd Expt","MG151",3,7,163,34.34,933.345,"zz"
"2nd Expt","MG151",2,7,177,32.76,683.313,"zz"
"2nd Expt","MG154",2,7,212,28.61,1102.705,"zz"
"2nd Expt","MG154",3,8,235,25.73,910.914,"zz"
"2nd Expt","MG154",1,8,245,29.28,806.396,"zz"
"2nd Expt","MG155",1,10,216,35.23,746.723,"zz"
"2nd Expt","MG155",2,12,217,38.23,820.621,"zz"
"2nd Expt","MG155",3,13,186,37.2,864.652,"zz"
"2nd Expt","MG156",2,6,201,34.11,792.617,"zz"
"2nd Expt","MG156",3,6,215,32.17,852.868,"zz"
"2nd Expt","MG156",1,7,244,31.68,987.837,"zz"
"2nd Expt","MG160",1,15,255,35.48,963.657,"zz"
"2nd Expt","MG160",3,15,272,35.13,770.927,"zz"
"2nd Expt","MG160",2,15,264,34.81,642.433,"zz"
"2nd Expt","MG161",2,6,127,42.05,952.656,"zz"
"2nd Expt","MG161",1,6,144,38.8,659.232,"zz"
"2nd Expt","MG161",3,6,161,43.07,645.491,"zz"
"2nd Expt","MG164",2,5,182,33.57,881.306,"zz"
"2nd Expt","MG164",3,5,195,31.79,689.996,"zz"
"2nd Expt","MG164",1,5,205,39.06,887.721,"zz"
"2nd Expt","MG165",3,8,256,32.73,855.369,"zz"
"2nd Expt","MG165",2,8,265,35.3,864.86,"zz"
"2nd Expt","MG165",1,8,298,30.48,783.652,"zz"
"2nd Expt","MG168",2,6,181,28.26,1078.092,"zz"
"2nd Expt","MG168",3,6,194,34.98,910.589,"zz"
"2nd Expt","MG168",1,7,190,32.17,1074.974,"zz"
"2nd Expt","MG169",2,8,194,44.85,844.551,"zz"
"2nd Expt","MG169",3,9,202,36.76,756.482,"zz"
"2nd Expt","MG169",1,9,225,37.55,705.922,"zz"
"2nd Expt","MG170",3,8,121,31.97,793.058,"zz"
"2nd Expt","MG170",2,8,137,28.56,944.871,"zz"
"2nd Expt","MG170",1,8,140,32.51,998.114,"zz"
"2nd Expt","MG173",2,5,139,24.84,752.259,"zz"
"2nd Expt","MG173",3,5,142,28.25,728.634,"zz"
"2nd Expt","MG173",1,6,166,22.98,1009.195,"zz"
"2nd Expt","MG174",1,7,119,24.97,645.476,"zz"
"2nd Expt","MG174",2,7,132,19.7,742.294,"zz"
"2nd Expt","MG174",3,7,137,27.57,671.688,"zz"
"2nd Expt","MG175",3,8,167,32.38,1109.433,"zz"
"2nd Expt","MG175",1,8,176,33.98,1099.57,"zz"
"2nd Expt","MG175",2,8,192,29.54,1027.718,"zz"
"2nd Expt","MG178",2,5,142,21.86,804.992,"zz"
"2nd Expt","MG178",1,5,156,27.51,772.76,"zz"
"2nd Expt","MG178",3,6,168,24.09,873.414,"zz"
"2nd Expt","MG179",1,5,163,30.39,662.976,"zz"
"2nd Expt","MG179",2,5,180,37.71,901.817,"zz"
"2nd Expt","MG179",3,6,192,35.27,713.019,"zz"
"2nd Expt","MG180",2,6,155,25.85,891.152,"zz"
"2nd Expt","MG180",3,6,171,29.12,724.165,"zz"
"2nd Expt","MG180",1,6,184,29.13,687.195,"zz"
"2nd Expt","MG183",2,5,167,31.62,842.132,"zz"
"2nd Expt","MG183",1,6,191,32.98,693.604,"zz"
"2nd Expt","MG183",3,6,205,28.91,592.663,"zz"
"2nd Expt","MG184",1,8,201,33.19,887.217,"zz"
"2nd Expt","MG184",3,8,222,34.04,1020.217,"zz"
"2nd Expt","MG184",2,8,244,33.84,825.555,"zz"
"2nd Expt","MG188",2,5,116,42.46,1084.275,"zz"
"2nd Expt","MG188",1,5,128,38.16,1134.444,"zz"
"2nd Expt","MG188",3,6,125,35.16,1013.783,"zz"
"2nd Expt","MG189",1,7,150,37.28,689.75,"zz"
"2nd Expt","MG189",3,8,165,32.06,724.58,"zz"
"2nd Expt","MG189",2,9,173,35.1,823.861,"zz"
"2nd Expt","MG193",1,7,156,32.84,697.919,"zz"
"2nd Expt","MG193",3,8,183,40.15,678.183,"zz"
"2nd Expt","MG193",2,9,175,31.5,932.833,"zz"
"2nd Expt","MG194",3,6,214,30.72,887.592,"zz"
"2nd Expt","MG194",1,7,207,27.54,876.547,"zz"
"2nd Expt","MG194",2,9,193,29.56,831.38,"zz"
"2nd Expt","MG195",3,9,185,30.35,1106.558,"zz"
"2nd Expt","MG195",2,10,171,32.89,962.4,"zz"
"2nd Expt","MG195",1,11,222,30.6,944.885,"zz"
"2nd Expt","MG198",3,5,131,31.66,851.768,"zz"
"2nd Expt","MG198",2,5,173,32.33,990.534,"zz"
"2nd Expt","MG198",1,6,175,37.49,856.625,"zz"
"2nd Expt","MG199",3,6,179,23.52,548.151,"zz"
"2nd Expt","MG199",2,7,197,23.03,589.695,"zz"
"2nd Expt","MG199",1,8,199,26.94,957.644,"zz"
"2nd Expt","MG200",1,8,119,32.78,858.377,"zz"
"2nd Expt","MG200",2,8,130,29.85,801.751,"zz"
"2nd Expt","MG200",3,8,144,29.98,815.259,"zz"
"2nd Expt","MG203",3,6,102,33.88,815.885,"zz"
"2nd Expt","MG203",2,7,128,35.44,734.847,"zz"
"2nd Expt","MG203",1,7,129,38.27,695.572,"zz"
"2nd Expt","MG204",2,7,131,28.42,1153.458,"zz"
"2nd Expt","MG204",1,7,136,29.94,999.175,"zz"
"2nd Expt","MG204",3,7,162,27.71,967.458,"zz"
"2nd Expt","MG208",3,7,122,29.75,954.81,"zz"
"2nd Expt","MG208",1,7,131,24.36,1068.998,"zz"
"2nd Expt","MG208",2,7,151,25.85,1033.019,"zz"
"2nd Expt","MG209",2,6,142,27.58,875.994,"zz"
"2nd Expt","MG209",1,6,166,27.36,825.189,"zz"
"2nd Expt","MG209",3,6,167,27.92,890.218,"zz"
"2nd Expt","MG213",2,6,146,38.87,1106.667,"zz"
"2nd Expt","MG213",1,6,155,40.49,924.133,"zz"
"2nd Expt","MG213",3,7,172,34.03,997.532,"zz"
"2nd Expt","MG214",3,8,147,29.61,838.062,"zz"
"2nd Expt","MG214",1,9,160,33.03,907.454,"zz"
"2nd Expt","MG214",2,10,186,29.55,877.905,"zz"
"2nd Expt","MG215",3,9,144,31.33,872.543,"zz"
"2nd Expt","MG215",1,9,158,33.91,1164.299,"zz"
"2nd Expt","MG215",2,9,174,31.43,858.601,"zz"
"2nd Expt","MG218",2,8,163,31.41,590.291,"zz"
"2nd Expt","MG218",1,8,167,33.24,872.932,"zz"
"2nd Expt","MG218",3,9,202,31.47,574.351,"zz"
"2nd Expt","MG219",1,6,213,32.87,818.527,"zz"
"2nd Expt","MG219",2,6,247,33.74,841.651,"zz"
"2nd Expt","MG219",3,6,259,31.69,828.206,"zz"
"2nd Expt","MG220",2,8,202,33.94,853.298,"zz"
"2nd Expt","MG220",3,8,221,30.62,868.772,"zz"
"2nd Expt","MG220",1,8,240,34.88,782.749,"zz"
"2nd Expt","MG223",2,11,186,31.49,949.045,"zz"
"2nd Expt","MG223",3,11,193,33.64,987.166,"zz"
"2nd Expt","MG223",1,11,227,34.65,811.025,"zz"
"2nd Expt","MG224",2,9,288,31.88,822.995,"zz"
"2nd Expt","MG224",1,9,289,23.27,725.958,"zz"
"2nd Expt","MG224",3,9,305,28.5,727.786,"zz"
"2nd Expt","MG225",1,7,145,18.53,845.134,"zz"
"2nd Expt","MG225",2,8,165,29.04,836.479,"zz"
"2nd Expt","MG225",3,9,192,22.91,914.845,"zz"
"2nd Expt","MG228",2,9,159,27.74,857.865,"zz"
"2nd Expt","MG228",1,11,199,32.28,644.777,"zz"
"2nd Expt","MG228",3,13,151,29.66,1029.109,"zz"
"2nd Expt","MG229",1,6,219,33.56,810.406,"zz"
"2nd Expt","MG229",2,7,156,36.13,630.472,"zz"
"2nd Expt","MG229",3,9,146,30.18,751.027,"zz"
"2nd Expt","MG230",3,6,188,22.98,730.115,"zz"
"2nd Expt","MG230",2,7,264,27.81,1079.014,"zz"
"2nd Expt","MG230",1,12,106,32.63,1174.985,"zz"
"2nd Expt","MG234",1,7,224,31.09,841.419,"zz"
"2nd Expt","MG234",3,8,221,31.5,1126.033,"zz"
"2nd Expt","MG234",2,8,237,33.76,840.312,"zz"
"2nd Expt","MG235",3,5,244,26.65,771.375,"zz"
"2nd Expt","MG235",2,8,260,23.04,1114.31,"zz"
"2nd Expt","MG235",1,14,249,28.42,647.395,"zz"
"2nd Expt","MG238",1,5,154,33.8,599.871,"zz"
"2nd Expt","MG238",2,5,157,30.14,554.391,"zz"
"2nd Expt","MG238",3,7,192,30.45,605.675,"zz"
"2nd Expt","MG239",1,8,155,26.61,856.35,"zz"
"2nd Expt","MG239",3,8,161,28.49,712.544,"zz"
"2nd Expt","MG239",2,9,140,29.42,1001.079,"zz"
"2nd Expt","MG240",1,9,157,25.81,834.672,"zz"
"2nd Expt","MG240",2,11,147,28.84,1137.31,"zz"
"2nd Expt","MG240",3,11,161,28.71,815.851,"zz"
"2nd Expt","MG243",2,5,105,30.13,727.391,"zz"
"2nd Expt","MG243",3,5,109,35.96,695.312,"zz"
"2nd Expt","MG243",1,7,101,31.24,531.315,"zz"
"2nd Expt","MG244",3,7,140,27.39,711.643,"zz"
"2nd Expt","MG244",2,7,166,29.36,852.277,"zz"
"2nd Expt","MG244",1,7,169,29.49,734.785,"zz"
"2nd Expt","MG245",3,6,116,34.41,942.58,"zz"
"2nd Expt","MG245",1,6,142,32.34,900.581,"zz"
"2nd Expt","MG245",2,6,152,28.5,667.619,"zz"
"2nd Expt","MG248",3,6,155,42.65,905.711,"zz"
"2nd Expt","MG248",2,7,173,40.02,821.963,"zz"
"2nd Expt","MG248",1,7,178,44.07,930.478,"zz"
"2nd Expt","MG249",1,6,138,24.74,669.249,"zz"
"2nd Expt","MG249",2,7,158,35.08,817.166,"zz"
"2nd Expt","MG249",3,7,167,31.59,1026.843,"zz"
"2nd Expt","MG250",1,9,126,32.68,785.855,"zz"
"2nd Expt","MG250",3,9,140,31.82,782.477,"zz"
"2nd Expt","MG250",2,9,142,31.99,882.796,"zz"
"2nd Expt","MG254",1,7,160,27.68,825.838,"zz"
"2nd Expt","MG254",2,8,151,27.36,862.547,"zz"
"2nd Expt","MG254",3,9,125,32.97,941.628,"zz"
"2nd Expt","MG258",3,6,157,31.43,695.513,"zz"
"2nd Expt","MG258",2,7,165,30.11,763.654,"zz"
"2nd Expt","MG258",1,7,172,32.7,686.825,"zz"
"2nd Expt","MG260",3,7,155,30.52,679.586,"zz"
"2nd Expt","MG260",2,7,175,31.15,759.784,"zz"
"2nd Expt","MG260",1,8,168,25.25,944.243,"zz"
"2nd Expt","MG263",2,7,210,27.62,744.814,"zz"
"2nd Expt","MG263",1,7,275,27.72,921.545,"zz"
"2nd Expt","MG263",3,9,248,31.47,898.383,"zz"
"2nd Expt","MG264",3,9,204,37.2,476.192,"zz"
"2nd Expt","MG264",2,10,222,31.69,848.882,"zz"
"2nd Expt","MG264",1,10,239,32.34,510.491,"zz"
"2nd Expt","MG265",3,7,179,11.87,1003.664,"zz"
"2nd Expt","MG265",1,8,153,12.85,959.97,"zz"
"2nd Expt","MG265",2,9,159,11.19,1075.686,"zz"
"2nd Expt","MG268",2,10,158,23.57,704.302,"zz"
"2nd Expt","MG268",1,10,165,28.15,934.506,"zz"
"2nd Expt","MG268",3,10,177,26.86,878.785,"zz"
"2nd Expt","MG270",3,8,155,25.45,951.601,"zz"
"2nd Expt","MG270",2,9,163,27.17,851.846,"zz"
"2nd Expt","MG270",1,10,181,28.79,423.019,"zz"
"2nd Expt","MG273",3,6,188,28.42,502.459,"zz"
"2nd Expt","MG273",2,7,173,30.58,739.395,"zz"
"2nd Expt","MG273",1,8,181,27.97,784.984,"zz"
"2nd Expt","MG274",3,10,220,26.98,913.994,"zz"
"2nd Expt","MG274",2,10,238,25.94,853.887,"zz"
"2nd Expt","MG274",1,13,260,23.09,754.904,"zz"
"2nd Expt","MG278",3,6,164,36.92,886.575,"zz"
"2nd Expt","MG278",2,6,170,37.18,816.328,"zz"
"2nd Expt","MG278",1,6,175,31.42,813.233,"zz"
"2nd Expt","MG279",2,7,231,40.42,993.091,"zz"
"2nd Expt","MG279",1,8,255,38.9,937.466,"zz"
"2nd Expt","MG279",3,9,281,35.88,1003.216,"zz"
"2nd Expt","MG280",3,8,155,31.31,732.135,"zz"
"2nd Expt","MG280",2,8,169,34.83,952.063,"zz"
"2nd Expt","MG280",1,8,174,34.6,795.811,"zz"
"2nd Expt","MG283",3,9,151,34.16,837.184,"zz"
"2nd Expt","MG283",2,10,158,35.96,824.752,"zz"
"2nd Expt","MG283",1,11,143,34.41,820.186,"zz"
"2nd Expt","MG284",2,9,179,32.45,567.56,"zz"
"2nd Expt","MG284",3,10,206,35.62,735.028,"zz"
"2nd Expt","MG284",1,11,199,27.09,845.2,"zz"
"2nd Expt","MG285",3,9,187,26.34,985.428,"zz"
"2nd Expt","MG285",2,10,171,31.54,1027.791,"zz"
"2nd Expt","MG285",1,10,195,30.77,1039.471,"zz"
"2nd Expt","MG288",1,6,149,38.76,611.643,"zz"
"2nd Expt","MG288",2,7,170,42.12,731.373,"zz"
"2nd Expt","MG288",3,8,186,39.16,753.307,"zz"
"2nd Expt","MG289",2,6,163,37.9,707.38,"zz"
"2nd Expt","MG289",1,7,205,35.32,976.78,"zz"
"2nd Expt","MG289",3,8,198,42.75,838.008,"zz"
"2nd Expt","MG290",3,10,124,31.91,633.353,"zz"
"2nd Expt","MG290",1,11,168,32.9,616.163,"zz"
"2nd Expt","MG290",2,11,168,27.87,884.476,"zz"
"2nd Expt","MG292",2,9,214,35.04,631.567,"zz"
"2nd Expt","MG292",3,9,221,32.05,651.567,"zz"
"2nd Expt","MG292",1,9,247,47.77,812.861,"zz"
"2nd Expt","MG294",3,7,122,20.59,780.303,"zz"
"2nd Expt","MG294",2,8,128,23.95,647.606,"zz"
"2nd Expt","MG294",1,8,146,17.13,705.151,"zz"
"2nd Expt","MG295",3,6,208,32.84,955.041,"zz"
"2nd Expt","MG295",2,7,265,29.98,1019.983,"zz"
"2nd Expt","MG295",1,8,301,30.49,1187.129,"zz"
"2nd Expt","MG299",1,8,261,30.75,838.606,"zz"
"2nd Expt","MG299",2,9,316,31.7,782.137,"zz"
"2nd Expt","MG299",3,9,323,32.078,921.945,"zz"
"2nd Expt","MG302",2,10,199,24.96,835.353,"zz"
"2nd Expt","MG302",1,10,201,23.68,969.195,"zz"
"2nd Expt","MG302",3,10,269,22.97,816.526,"zz"
"2nd Expt","MG303",2,7,194,34.31,879.369,"zz"
"2nd Expt","MG303",1,8,198,32.97,797.254,"zz"
"2nd Expt","MG303",3,8,226,33.43,670.845,"zz"
"2nd Expt","MG307",2,9,145,35.25,949.08,"zz"
"2nd Expt","MG307",1,10,163,33.64,901.062,"zz"
"2nd Expt","MG307",3,11,193,33.5,778.174,"zz"
"2nd Expt","MG308",2,9,116,38.92,905.429,"zz"
"2nd Expt","MG308",1,9,221,35.2,875.986,"zz"
"2nd Expt","MG308",3,10,146,31.87,687.753,"zz"
"2nd Expt","MG312",1,8,180,30.92,621.654,"zz"
"2nd Expt","MG312",3,9,169,28.2,858.387,"zz"
"2nd Expt","MG312",2,9,216,24.77,811.573,"zz"
"2nd Expt","MG313",1,6,138,38.09,1138.388,"zz"
"2nd Expt","MG313",2,9,199,36.56,824.361,"zz"
"2nd Expt","MG313",3,9,247,38.57,879.982,"zz"
"2nd Expt","MG317",1,8,189,30.94,872.464,"zz"
"2nd Expt","MG317",2,10,168,30.09,785.704,"zz"
"2nd Expt","MG317",3,11,178,31.47,593.493,"zz"
"2nd Expt","MG318",1,7,165,31.88,552.468,"zz"
"2nd Expt","MG318",2,7,172,37.99,747.988,"zz"
"2nd Expt","MG318",3,7,177,40.68,638.814,"zz"
"2nd Expt","MG322",2,7,144,26.28,953.492,"zz"
"2nd Expt","MG322",1,7,146,22.71,805.975,"zz"
"2nd Expt","MG322",3,7,175,31.19,950.859,"zz"
"2nd Expt","MG323",2,7,146,17.45,855.422,"zz"
"2nd Expt","MG323",1,8,134,14.77,893.196,"zz"
"2nd Expt","MG323",3,9,171,13.48,838.895,"zz"
"2nd Expt","MG327",3,8,161,29.04,917.452,"zz"
"2nd Expt","MG327",1,9,178,32.43,823.515,"zz"
"2nd Expt","MG327",2,10,164,31.02,944.041,"zz"
"2nd Expt","MG328",3,5,279,41.82,854.654,"zz"
"2nd Expt","MG328",1,7,190,36.75,847.546,"zz"
"2nd Expt","MG328",2,7,273,35.61,866.519,"zz"
"2nd Expt","MG332",3,8,216,31,806.749,"zz"
"2nd Expt","MG332",1,8,228,36.87,852.828,"zz"
